id,RA,Dec,Target,Qual,z,z_err,N_lines,features,flag
V01Q1_20,10.3783,-9.1904,T,2,0.1314,0,5,e2a3,0
V01Q1_17,10.3749,-9.1079,T,2,0.4704,0,4,e0a4,0
V01Q1_3,10.3699,-9.0936,T,2,0.6033,0,7,e6a1,0
V01Q1_22,10.3651,-9.1605,T,2,0.2321,0,11,e10a1,0
V01Q1_12,10.3603,-9.1264,T,2,0.2922,0,11,e8a3,0
V01Q1_11,10.3513,-9.0899,T,2,0.209,0,8,e7a1,0
V01Q1_10,10.348,-9.1466,T,2,0.3826,0,9,e6a3,0
V01Q1_1,10.3438,-9.1086,T,0,0,0,0,e0a0,0
V01Q1_1,-999.9,-999.9,A,-9,0,0,0,e0a0,b
V01Q1_2,10.3391,-9.1533,T,2,0.1307,0,10,e9a1,0
V01Q1_4,10.3304,-9.0994,T,3,0.0556,0,3,e0a3,0
V01Q1_8,10.3261,-9.1833,T,0,0,0,0,e0a0,0
V01Q1_15,10.3225,-9.0961,T,2,0.4581,0,6,e4a2,0
V01Q1_14,10.3164,-9.1227,T,2,0.5363,0,6,e3a3,0
V01Q1_7,10.3009,-9.1695,T,2,0.0567,0,4,e0a4,0
V01Q1_6,10.295,-9.1715,A,2,0.055,0,4,e1a3,a
V01Q1_6,-999.9,-999.9,A,-9,0,0,0,e0a0,b
V01Q1_6,10.2986,-9.1715,T,0,0,0,0,e0a0,0
V01Q1_16,10.2927,-9.1165,T,2,0.2156,0,8,e8a0,0
V01Q1_19,10.2879,-9.1355,T,2,0.5838,0,3,e3a0,0
V01Q1_9,10.2856,-9.1415,T,2,0.208,0.0002,5,e5a0,0
V01Q1_13,10.2788,-9.1507,T,2,0.0623,0,10,e10a0,0
V01Q1_23,10.2705,-9.1099,T,2,0.5834,0,7,e0a7,0
V01Q1_5,10.268,-9.1451,T,2,0.2526,0,11,e7a4,0
V01Q2_25,10.222,-9.1841,A,2,0.081,0.0002,9,e8a1,a
V01Q2_25,10.2245,-9.1841,T,3,0.3398,0,5,e5a0,0
V01Q2_25,10.2258,-9.1841,A,0,0,0,0,e0a0,a
V01Q2_24,10.2186,-9.1742,T,2,0.5194,0,8,e4a4,0
V01Q2_28,10.2122,-9.1466,T,1,0,0,0,e0a0,0
V01Q2_27,10.2095,-9.1159,T,2,0.2945,0,10,e10a0,0
V01Q2_23,10.2042,-9.172,T,3,0.0559,0,3,e0a3,0
V01Q2_22,10.1981,-9.7141,T,1,0,0,0,e0a0,0
V01Q2_19,10.1869,-9.1802,A,2,0.4639,0,12,e8a4,a
V01Q2_19,10.1897,-9.1802,T,2,0.7998,0,5,e3a2,0
V01Q2_18,10.1843,-9.1344,T,2,0.5406,0,9,e4a5,0
V01Q2_30,10.1802,-9.1594,T,2,0.3138,0,8,e5a3,0
V01Q2_29,10.1773,-9.1527,T,1,0,0,0,e0a0,0
V01Q2_17,10.1745,-9.1447,T,2,0.3043,0,9,e4a5,0
V01Q2_14,10.1662,-9.1696,A,2,0.4579,0,14,e12a2,0
V01Q2_14,10.1699,-9.1696,T,2,0.3126,0,5,e0a5,0
V01Q2_16,10.1642,-9.1703,T,2,0.0779,0,7,e7a0,0
V01Q2_13,10.162,-9.1168,T,2,0.3169,0,13,e11a2,0
V01Q2_12,10.1567,-9.1853,T,2,0.1895,0,9,e8a1,0
V01Q2_9,10.1515,-9.1927,T,2,0.1892,0,8,e7a1,0
V01Q2_11,10.145,-9.1876,A,2,0.4566,0,13,e11a2,0
V01Q2_11,10.1491,-9.1876,T,2,0.3119,0,8,e8a0,0
V01Q2_8,10.1433,-9.1313,T,2,0.0846,0,8,e7a1,0
V01Q2_8,-999.9,-999.9,A,-9,0,0,0,e0a0,b
V01Q2_6,10.1385,-9.1175,T,2,0.131,0.0001,4,e3a1,0
V01Q2_2,10.1253,-9.1361,T,2,0.5801,0,8,e5a3,0
V01Q2_3,10.1199,-9.1317,T,3,0.0529,0,4,e2a2,0
V01Q2_4,10.1168,-9.1411,T,2,0.1805,0,4,e4a0,0
V01Q3_19,10.2303,-9.3387,T,2,0.2321,0,13,e12a1,0
V01Q3_20,10.2279,-9.3232,T,1,0,0,0,e0a0,0
V01Q3_20,-999.9,-999.9,A,-9,0,0,0,e0a0,b
V01Q3_20,-999.9,-999.9,A,-9,0,0,0,e0a0,b
V01Q3_17,10.2233,-9.3183,T,2,0.1677,0,7,e6a1,0
V01Q3_16,10.2194,-9.3219,T,2,0.2324,0,8,e6a2,0
V01Q3_21,10.215,-9.3411,T,3,0.0556,0,3,e0a3,0
V01Q3_15,10.2115,-9.3171,T,2,0.2314,0,6,e5a1,0
V01Q3_14,10.2002,-9.3299,T,2,0.1666,0,11,e10a1,0
V01Q3_25,10.1867,-9.284,T,2,0.253,0.0001,9,e5a4,0
V01Q3_18,10.183,-9.3505,T,2,0.3733,0,14,e11a3,0
V01Q3_18,-999.9,-999.9,A,-9,0,0,0,e0a0,b
V01Q3_11,10.1757,-9.3208,T,2,0.8459,0,7,e6a1,0
V01Q3_24,10.1733,-9.2968,T,2,0.3955,0,14,e10a4,0
V01Q3_27,10.1671,-9.2942,T,2,0.3159,0,16,e11a5,0
V01Q3_26,10.1598,-9.3043,T,2,0.3085,0,12,e8a4,0
V01Q3_10,10.1514,-9.3377,T,2,0.0501,0,7,e7a0,0
V01Q3_8,10.1455,-9.2784,T,2,0.3819,0,5,e5a0,0
V01Q3_6,10.1423,-9.306,T,0,0,0,0,e0a0,0
V01Q3_7,10.1396,-9.2631,T,2,0.2933,0,7,e7a0,0
V01Q3_5,10.1353,-9.3421,T,2,0.6247,0,6,e3a3,0
V01Q3_4,10.1316,-9.3059,T,2,0.0801,0,8,e7a1,0
V01Q3_1,10.1277,-9.2904,T,2,0.316,0.0002,13,e8a5,0
V01Q3_2,10.1211,-9.3192,T,2,0.3107,0,11,e4a7,0
V01Q4_15,-999.9,-999.9,A,-9,0,0,0,e0a0,b
V01Q4_15,10.3814,-9.2797,T,2,0.1883,0,6,e1a5,0
V01Q4_25,10.3642,-9.2662,T,2,0.0482,0,10,e10a0,0
V01Q4_18,10.3598,-9.3698,T,2,0.583,0.0002,6,e4a2,0
V01Q4_14,10.3538,-9.3664,T,2,0.5852,0,5,e3a2,0
V01Q4_14,-999.9,-999.9,A,-9,0,0,0,e0a0,b
